_id,competitor
62702a811e89404ee7ae6127,6217bf743e8e7f7628a6d79c
62702a811e89404ee7ae6128,6217bf743e8e7f7628a6d79c
62702a811e89404ee7ae6129,6217bf743e8e7f7628a6d79c
62702a871e89404ee7ae6131,624dc046aa7572a76359d060
62702a871e89404ee7ae6132,624dc046aa7572a76359d060
62702a871e89404ee7ae6130,624dc046aa7572a76359d060
62702a871e89404ee7ae6133,624dc046aa7572a76359d060
62702a871e89404ee7ae6136,624dc046aa7572a76359d060
62702a871e89404ee7ae6134,624dc046aa7572a76359d060
62702a871e89404ee7ae6135,624dc046aa7572a76359d060
62702a871e89404ee7ae6137,624dc046aa7572a76359d060
62702a901e89404ee7ae6143,62005d6d7222c33359c9256b
62702a901e89404ee7ae6144,62005d6d7222c33359c9256b
62702a901e89404ee7ae6145,62005d6d7222c33359c9256b
62702a901e89404ee7ae6142,62005d6d7222c33359c9256b
62702a901e89404ee7ae6147,62005d6d7222c33359c9256b
62702a901e89404ee7ae6146,62005d6d7222c33359c9256b
62702a901e89404ee7ae6149,62005d6d7222c33359c9256b
62702a901e89404ee7ae6148,62005d6d7222c33359c9256b
62702a951e89404ee7ae6154,62005d417222c33359c8ec05
62702a951e89404ee7ae6158,62005d417222c33359c8ec05
62702a951e89404ee7ae6155,62005d417222c33359c8ec05
62702a951e89404ee7ae6156,62005d417222c33359c8ec05
62702a951e89404ee7ae615a,62005d417222c33359c8ec05
62702a951e89404ee7ae6157,62005d417222c33359c8ec05
62702a951e89404ee7ae6159,62005d417222c33359c8ec05
62702a951e89404ee7ae615b,62005d417222c33359c8ec05
62702a9d1e89404ee7ae6167,626908f9fd53923b1784c3f2
62702a9d1e89404ee7ae6168,626908f9fd53923b1784c3f2
62702a9d1e89404ee7ae6166,626908f9fd53923b1784c3f2
62702a9d1e89404ee7ae6169,626908f9fd53923b1784c3f2
62702a9d1e89404ee7ae616c,626908f9fd53923b1784c3f2
62702a9d1e89404ee7ae616a,626908f9fd53923b1784c3f2
62702a9d1e89404ee7ae616d,626908f9fd53923b1784c3f2
62702a9d1e89404ee7ae616b,626908f9fd53923b1784c3f2
62702aa31e89404ee7ae6178,621326533e8e7f762895c7ba
62702aa31e89404ee7ae6179,621326533e8e7f762895c7ba
62702aa31e89404ee7ae617a,621326533e8e7f762895c7ba
62702aa31e89404ee7ae617d,621326533e8e7f762895c7ba
62702aa31e89404ee7ae617e,621326533e8e7f762895c7ba
62702aa31e89404ee7ae617b,621326533e8e7f762895c7ba
62702aa31e89404ee7ae617c,621326533e8e7f762895c7ba
62702aa31e89404ee7ae617f,621326533e8e7f762895c7ba
62702aa91e89404ee7ae618b,62005d937222c33359c93d1f
62702aa91e89404ee7ae618c,62005d937222c33359c93d1f
62702aa91e89404ee7ae618a,62005d937222c33359c93d1f
62702aa91e89404ee7ae618e,62005d937222c33359c93d1f
62702aa91e89404ee7ae618f,62005d937222c33359c93d1f
62702aa91e89404ee7ae6191,62005d937222c33359c93d1f
62702aa91e89404ee7ae618d,62005d937222c33359c93d1f
62702aa91e89404ee7ae6190,62005d937222c33359c93d1f
62702ab01e89404ee7ae619e,622e3c9aaa7572a76307d998
62702ab01e89404ee7ae619c,622e3c9aaa7572a76307d998
62702ab01e89404ee7ae619d,622e3c9aaa7572a76307d998
62702ab61e89404ee7ae61a6,62005d407222c33359c8e92d
62702ab61e89404ee7ae61a7,62005d407222c33359c8e92d
62702ab61e89404ee7ae61ab,62005d407222c33359c8e92d
62702ab61e89404ee7ae61a9,62005d407222c33359c8e92d
62702ab61e89404ee7ae61a4,62005d407222c33359c8e92d
62702ab61e89404ee7ae61aa,62005d407222c33359c8e92d
62702ab61e89404ee7ae61a5,62005d407222c33359c8e92d
62702ab61e89404ee7ae61a8,62005d407222c33359c8e92d
62702abb1e89404ee7ae61b7,62005d417222c33359c8ea81
